task_name,duration,deadline,priority,flexibility,current_time,raw_deadline_diff,occupied_time_between,adjusted_deadline_diff
Prepare for Robotics lab,2.0,2026-02-12 20:00,5,rigid,16:26,3.57,0.0,3.57
Sketch EDC poster,4.5,2026-02-12 19:00,3,semi-flexible,16:26,2.57,0.0,2.57
Complete Design Society draft,2.0,2026-02-12 20:00,4,rigid,16:26,3.57,0.0,3.57
Prepare Convo AI quiz,1.5,2026-02-12 20:00,3,rigid,16:26,3.57,0.0,3.57
Submit evolution paper ||,3.0,2026-02-12 22:00,4,rigid,16:26,5.57,0.25,5.32
